fen,san,name_ko,name_en,eval
r1bqk1nr/pp1pppbp/2n3p1/1Bp5/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 4. O-O Bg7 5. c3,"시실리안 디펜스: 네즈메트디노프-로솔리모 어택, 피앙케토 바리에이션","Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",0.3
r1bqk1nr/pp1p1pbp/2n3p1/1Bp1p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 4. O-O Bg7 5. c3 e5,"시실리안 디펜스: 네즈메트디노프-로솔리모 어택, 피앙케토 바리에이션","Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",-0.4
r1bqk1nr/pp1p1pbp/2n3p1/1Bp1p3/3PP3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 4. O-O Bg7 5. c3 e5 6. d4,"시실리안 디펜스: 네즈메트디노프-로솔리모 어택, 피앙케토 바리에이션, 구펠트 갬빗","Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation, Gufeld Gambit",0.4
r1bqk2r/pp1pppbp/2n2np1/1Bp5/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 4. O-O Bg7 5. c3 Nf6,"시실리안 디펜스: 네즈메트디노프-로솔리모 어택, 피앙케토 바리에이션","Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",-0.3
r1bqk2r/pp1pppbp/2n2np1/1Bp5/3PP3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 4. O-O Bg7 5. c3 Nf6 6. d4,"시실리안 디펜스: 네즈메트디노프-로솔리모 어택, 피앙케토 바리에이션, 루티코프 갬빗","Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation, Lutikov Gambit",0.1
r1bqk2r/pp1pppbp/2n2np1/1Bp5/Q3P3/2P2N2/PP1P1PPP/RNB2RK1 b kq -,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 4. O-O Bg7 5. c3 Nf6 6. Qa4,"시실리안 디펜스: 네즈메트디노프-로솔리모 어택, 피앙케토 바리에이션, 토츠키 어택","Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation, Totsky Attack",-0.1
r1bqk1nr/pp1pppbp/2n3p1/1Bp5/4P3/5N2/PPPP1PPP/RNBQR1K1 b kq -,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 4. O-O Bg7 5. Re1,"시실리안 디펜스: 네즈메트디노프-로솔리모 어택, 피앙케토 바리에이션","Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",0.1
r1bqk1nr/pp1p1pbp/2n3p1/1Bp1p3/4P3/5N2/PPPP1PPP/RNBQR1K1 w kq -,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 4. O-O Bg7 5. Re1 e5,"시실리안 디펜스: 네즈메트디노프-로솔리모 어택, 피앙케토 바리에이션","Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",0.0
r1bqk1nr/pp1p1pbp/2n3p1/1Bp1p3/1P2P3/5N2/P1PP1PPP/RNBQR1K1 b kq -,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 4. O-O Bg7 5. Re1 e5 6. b4,"시실리안 디펜스: 네즈메트디노프-로솔리모 어택, 구르겐리제 바리에이션","Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Gurgenidze Variation",0.0
r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4,시실리안 디펜스: 오픈,Sicilian Defense: Open,0.2
r1bqkbnr/pp1ppppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4,시실리안 디펜스: 오픈,Sicilian Defense: Open,-0.2
r1bqkbnr/pp1ppppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4,시실리안 디펜스: 오픈,Sicilian Defense: Open,0.1
r1bqkbnr/pp1ppp1p/2n3p1/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6,시실리안 디펜스: 엑셀러레이티드 드래곤,Sicilian Defense: Accelerated Dragon,-0.5
r1b1kbnr/ppqppppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Qc7,시실리안 디펜스: 플로어 바리에이션,Sicilian Defense: Flohr Variation,-0.5
r1bqkbnr/pp1p1ppp/2n1p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 e6,시실리안 디펜스: 프랑코-시실리안 바리에이션,Sicilian Defense: Franco-Sicilian Variation,-1.9
r1b1kbnr/pp1ppppp/1qn5/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Qb6,시실리안 디펜스: 고디바 바리에이션,Sicilian Defense: Godiva Variation,-0.6
r1bqkbnr/pp1p1ppp/2n5/4p3/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5,시실리안 디펜스: 뢰벤탈 바리에이션,Sicilian Defense: Löwenthal Variation,-0.4
r1bqkbnr/pp1p1ppp/2n5/1N2p3/4P3/8/PPP2PPP/RNBQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5 5. Nb5,시실리안 디펜스: 뢰벤탈 바리에이션,Sicilian Defense: Löwenthal Variation,0.4
r1bqkbnr/pp3ppp/2np4/1N2p3/4P3/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5 5. Nb5 d6,시실리안 디펜스: 칼라시니코프 바리에이션,Sicilian Defense: Kalashnikov Variation,-0.5
r1bqkbnr/pp2pppp/2n5/3p4/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 d5,시실리안 디펜스: 님조-아메리칸 바리에이션,Sicilian Defense: Nimzo-American Variation,-1.0
r1bqkbnr/1p1ppppp/p1n5/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 a6,시실리안 디펜스: 오픈,Sicilian Defense: Open,0.0
r1bqkbnr/1p1ppppp/p1n5/8/2PNP3/8/PP3PPP/RNBQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 a6 5. c4,시실리안 디펜스: 오픈,Sicilian Defense: Open,0.5
r1bqkbnr/1p1p1ppp/p1n5/4p3/2PNP3/8/PP3PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 a6 5. c4 e5,"시실리안 디펜스: 오켈리 바리에이션, 마록지 바인드, 겔러 라인","Sicilian Defense: O'Kelly Variation, Maróczy Bind, Geller Line",-0.5
r1bqkb1r/pp1ppppp/2n2n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6,시실리안 디펜스: 오픈,Sicilian Defense: Open,-0.2
r1bqkb1r/pp1ppppp/2n2n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3,시실리안 디펜스: 오픈,Sicilian Defense: Open,0.1
r1bqkb1r/pp1p1ppp/2n1pn2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6,시실리안 디펜스: 오픈,Sicilian Defense: Open,-0.5
r1bqkb1r/pp1p1ppp/2n1pn2/1N6/4P3/2N5/PPP2PPP/R1BQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Ndb5,시실리안 디펜스: 오픈,Sicilian Defense: Open,0.0
r1bqk2r/pp1p1ppp/2n1pn2/1Nb5/4P3/2N5/PPP2PPP/R1BQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Ndb5 Bc5,"시실리안 디펜스: 포 나이트 바리에이션, 코브라 바리에이션","Sicilian Defense: Four Knights Variation, Cobra Variation",-0.5
r1bqkb1r/pp1p1ppp/2n2n2/4p3/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5,시실리안 디펜스: 라스커-펠리칸 바리에이션,Sicilian Defense: Lasker-Pelikan Variation,-0.2
r1bqkb1r/pp1p1ppp/2n2n2/1N2p3/4P3/2N5/PPP2PPP/R1BQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5,시실리안 디펜스: 라스커-펠리칸 바리에이션,Sicilian Defense: Lasker-Pelikan Variation,0.2
r1bqkb1r/pp3ppp/2np1n2/1N2p3/4P3/2N5/PPP2PPP/R1BQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6,시실리안 디펜스: 라스커-펠리칸 바리에이션,Sicilian Defense: Lasker-Pelikan Variation,-0.3
r1bqkb1r/pp3ppp/2np1n2/1N2p1B1/4P3/2N5/PPP2PPP/R2QKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5,시실리안 디펜스: 라스커-펠리칸 바리에이션,Sicilian Defense: Lasker-Pelikan Variation,0.2
r1bqkb1r/1p3ppp/p1np1n2/1N2p1B1/4P3/2N5/PPP2PPP/R2QKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6,시실리안 디펜스: 라스커-펠리칸 바리에이션,Sicilian Defense: Lasker-Pelikan Variation,0.0
r1bqkb1r/1p3ppp/p1np1n2/4p1B1/4P3/N1N5/PPP2PPP/R2QKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3,시실리안 디펜스: 라스커-펠리칸 바리에이션,Sicilian Defense: Lasker-Pelikan Variation,0.2
r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N5/PPP2PPP/R2QKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3 Be6,"시실리안 디펜스: 라스커-펠리칸 바리에이션, 버드 바리에이션","Sicilian Defense: Lasker-Pelikan Variation, Bird Variation",-0.5
r1bqkb1r/pp1p1ppp/2N2n2/4p3/4P3/2N5/PPP2PPP/R1BQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Nxc6,"시실리안 디펜스: 라스커-펠리칸 바리에이션, 익스체인지 바리에이션","Sicilian Defense: Lasker-Pelikan Variation, Exchange Variation",-0.1
r1bqkb1r/pp1p1ppp/2n2n2/4p3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Nf3,"시실리안 디펜스: 라스커-펠리칸 바리에이션, 리트리트 바리에이션","Sicilian Defense: Lasker-Pelikan Variation, Retreat Variation",-0.3
r1bqkb1r/pp1p1ppp/2n2n2/4p3/4P3/1NN5/PPP2PPP/R1BQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Nb3,"시실리안 디펜스: 라스커-펠리칸 바리에이션, 슐레흐터 바리에이션","Sicilian Defense: Lasker-Pelikan Variation, Schlechter Variation",-0.2
r1bqkb1r/5ppp/p1np1n2/1p2p1B1/4P3/N1N5/PPP2PPP/R2QKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3 b5,"시실리안 디펜스: 라스커-펠리칸 바리에이션, 스베시니코프 바리에이션","Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation",-0.2
r1bqkb1r/5ppp/p1np1B2/1p2p3/4P3/N1N5/PPP2PPP/R2QKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3 b5 9. Bxf6,"시실리안 디펜스: 라스커-펠리칸 바리에이션, 스베시니코프 바리에이션","Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation",0.2
r1bqkb1r/5p1p/p1np1p2/1p2p3/4P3/N1N5/PPP2PPP/R2QKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3 b5 9. Bxf6 gxf6,"시실리안 디펜스: 라스커-펠리칸 바리에이션, 스베시니코프 바리에이션","Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation",-0.1
r1bqkb1r/5p1p/p1np1p2/1p1Np3/4P3/N7/PPP2PPP/R2QKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3 b5 9. Bxf6 gxf6 10. Nd5,"시실리안 디펜스: 라스커-펠리칸 바리에이션, 스베시니코프 바리에이션","Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation",0.1
r1bqkb1r/5p1p/p1np4/1p1Npp2/4P3/N7/PPP2PPP/R2QKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3 b5 9. Bxf6 gxf6 10. Nd5 f5,"시실리안 디펜스: 라스커-펠리칸 바리에이션, 스베시니코프 바리에이션","Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation",-0.1
r1bqkb1r/5ppp/p1np1n2/1p1Np1B1/4P3/N7/PPP2PPP/R2QKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3 b5 9. Nd5,"시실리안 디펜스: 라스커-펠리칸 바리에이션, 스베시니코프 바리에이션, 첼랴빈스크 바리에이션","Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation",0.2
r1bqk2r/5pbp/p1np1p2/1p1Np3/4P3/N7/PPP2PPP/R2QKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3 b5 9. Bxf6 gxf6 10. Nd5 Bg7,"시실리안 디펜스: 라스커-펠리칸 바리에이션, 스베시니코프 바리에이션, 노보시비르스크 바리에이션","Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Novosibirsk Variation",-0.3
r1bqkb1r/5p1p/p1np4/1B1Npp2/4P3/N7/PPP2PPP/R2QK2R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3 b5 9. Bxf6 gxf6 10. Nd5 f5 11. Bxb5,"시실리안 디펜스: 라스커-펠리칸 바리에이션, 스베시니코프 바리에이션, 페레십킨 희생","Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Peresypkin's Sacrifice",0.0
r1bqkbnr/pp1ppp1p/2N3p1/8/4P3/8/PPP2PPP/RNBQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. Nxc6,"시실리안 디펜스: 엑셀러레이티드 드래곤, 익스체인지 바리에이션","Sicilian Defense: Accelerated Dragon, Exchange Variation",-0.1
r1bqkbnr/pp1ppp1p/2n3p1/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. Nc3,"시실리안 디펜스: 엑셀러레이티드 드래곤, 모던 바리에이션","Sicilian Defense: Accelerated Dragon, Modern Variation",0.2
r1bqk1nr/pp1pppbp/2n3p1/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. Nc3 Bg7,"시실리안 디펜스: 엑셀러레이티드 드래곤, 모던 바리에이션","Sicilian Defense: Accelerated Dragon, Modern Variation",-0.3
r1bqk1nr/pp1pppbp/2n3p1/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. Nc3 Bg7 6. Be3,"시실리안 디펜스: 엑셀러레이티드 드래곤, 모던 바리에이션","Sicilian Defense: Accelerated Dragon, Modern Variation",0.3
r1bqk2r/pp1pppbp/2n2np1/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. Nc3 Bg7 6. Be3 Nf6,"시실리안 디펜스: 엑셀러레이티드 드래곤, 모던 바리에이션","Sicilian Defense: Accelerated Dragon, Modern Variation",-0.4
r1bqk2r/pp1pppbp/2n2np1/8/2BNP3/2N1B3/PPP2PPP/R2QK2R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. Nc3 Bg7 6. Be3 Nf6 7. Bc4,"시실리안 디펜스: 엑셀러레이티드 드래곤, 모던 Bc4 바리에이션","Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation",0.3
r1bqk2r/pp2ppbp/2np1np1/8/2BNP3/2N1B3/PPP2PPP/R2QK2R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. Nc3 Bg7 6. Be3 Nf6 7. Bc4 d6,"시실리안 디펜스: 드래곤 바리에이션, 모던 Bc4 바리에이션","Sicilian Defense: Dragon Variation, Modern Bc4 Variation",-0.5
r1bqkbnr/pp1ppp1p/2n3p1/8/2PNP3/8/PP3PPP/RNBQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4,"시실리안 디펜스: 엑셀러레이티드 드래곤, 마록지 바인드","Sicilian Defense: Accelerated Dragon, Maróczy Bind",0.5
r1bqkb1r/pp1ppp1p/2n2np1/8/2PNP3/8/PP3PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Nf6,"시실리안 디펜스: 엑셀러레이티드 드래곤, 마록지 바인드","Sicilian Defense: Accelerated Dragon, Maróczy Bind",-0.4
r1bqkb1r/pp1ppp1p/2n2np1/8/2PNP3/2N5/PP3PPP/R1BQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Nf6 6. Nc3,"시실리안 디펜스: 엑셀러레이티드 드래곤, 마록지 바인드","Sicilian Defense: Accelerated Dragon, Maróczy Bind",0.0
r1bqkb1r/pp1ppp1p/5np1/8/2PnP3/2N5/PP3PPP/R1BQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Nf6 6. Nc3 Nxd4,"시실리안 디펜스: 엑셀러레이티드 드래곤, 마록지 바인드","Sicilian Defense: Accelerated Dragon, Maróczy Bind",-0.5
r1bqkb1r/pp1ppp1p/5np1/8/2PQP3/2N5/PP3PPP/R1B1KB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Nf6 6. Nc3 Nxd4 7. Qxd4,"시실리안 디펜스: 엑셀러레이티드 드래곤, 마록지 바인드","Sicilian Defense: Accelerated Dragon, Maróczy Bind",0.4
r1bqkb1r/pp2pp1p/3p1np1/8/2PQP3/2N5/PP3PPP/R1B1KB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Nf6 6. Nc3 Nxd4 7. Qxd4 d6,"시실리안 디펜스: 엑셀러레이티드 드래곤, 마록지 바인드, 구르겐리제 바리에이션","Sicilian Defense: Accelerated Dragon, Maróczy Bind, Gurgenidze Variation",-0.4
r1bqk1nr/pp1pppbp/2n3p1/8/2PNP3/8/PP3PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Bg7,"시실리안 디펜스: 엑셀러레이티드 드래곤, 마록지 바인드","Sicilian Defense: Accelerated Dragon, Maróczy Bind",-0.5
r1bqk1nr/pp1pppbp/2n3p1/8/2P1P3/8/PPN2PPP/RNBQKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Bg7 6. Nc2,"시실리안 디펜스: 엑셀러레이티드 드래곤, 마록지 바인드","Sicilian Defense: Accelerated Dragon, Maróczy Bind",0.3
r1bqk1nr/pp2ppbp/2np2p1/8/2P1P3/8/PPN2PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Bg7 6. Nc2 d6,"시실리안 디펜스: 엑셀러레이티드 드래곤, 마록지 바인드","Sicilian Defense: Accelerated Dragon, Maróczy Bind",-0.1
r1bqk1nr/pp2ppbp/2np2p1/8/2P1P3/8/PPN1BPPP/RNBQK2R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Bg7 6. Nc2 d6 7. Be2,"시실리안 디펜스: 엑셀러레이티드 드래곤, 마록지 바인드","Sicilian Defense: Accelerated Dragon, Maróczy Bind",0.1
r1bqk2r/pp2ppbp/2np2pn/8/2P1P3/8/PPN1BPPP/RNBQK2R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Bg7 6. Nc2 d6 7. Be2 Nh6,"시실리안 디펜스: 엑셀러레이티드 드래곤, 시마긴 바리에이션","Sicilian Defense: Accelerated Dragon, Simagin Variation",-0.3
r1bqk1nr/pp1pppbp/2n3p1/8/2PNP3/4B3/PP3PPP/RN1QKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Bg7 6. Be3,"시실리안 디펜스: 엑셀러레이티드 드래곤, 마록지 바인드","Sicilian Defense: Accelerated Dragon, Maróczy Bind",0.6
r1bqk2r/pp1pppbp/2n2np1/8/2PNP3/4B3/PP3PPP/RN1QKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Bg7 6. Be3 Nf6,"시실리안 디펜스: 엑셀러레이티드 드래곤, 마록지 바인드","Sicilian Defense: Accelerated Dragon, Maróczy Bind",0.0
r1bqk2r/pp1pppbp/2n2np1/8/2PNP3/2N1B3/PP3PPP/R2QKB1R b KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Bg7 6. Be3 Nf6 7. Nc3,"시실리안 디펜스: 엑셀러레이티드 드래곤, 마록지 바인드","Sicilian Defense: Accelerated Dragon, Maróczy Bind",0.0
r1bqk2r/pp1pppbp/2n3p1/8/2PNP1n1/2N1B3/PP3PPP/R2QKB1R w KQkq -,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Bg7 6. Be3 Nf6 7. Nc3 Ng4,"시실리안 디펜스: 엑셀러레이티드 드래곤, 마록지 바인드, 브레이어 바리에이션","Sicilian Defense: Accelerated Dragon, Maróczy Bind, Breyer Variation",-0.7
rnbqkb1r/pp1p1ppp/4pn2/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 e6 3. c3 Nf6,시실리안 디펜스: 딜레이드 알라핀 바리에이션,"Sicilian Defense: Delayed Alapin Variation, with e6",-0.2
rnbqkb1r/pp1p1ppp/4pn2/2p1P3/8/2P2N2/PP1P1PPP/RNBQKB1R b KQkq -,1. e4 c5 2. Nf3 e6 3. c3 Nf6 4. e5,시실리안 디펜스: 딜레이드 알라핀 바리에이션,"Sicilian Defense: Delayed Alapin Variation, with e6",0.3
rnbqkb1r/pp1p1ppp/4p3/2pnP3/8/2P2N2/PP1P1PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 e6 3. c3 Nf6 4. e5 Nd5,시실리안 디펜스: 딜레이드 알라핀 바리에이션,"Sicilian Defense: Delayed Alapin Variation, with e6",-0.2
rnbqkb1r/pp1p1ppp/4p3/2pnP3/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq -,1. e4 c5 2. Nf3 e6 3. c3 Nf6 4. e5 Nd5 5. d4,시실리안 디펜스: 딜레이드 알라핀 바리에이션,"Sicilian Defense: Delayed Alapin Variation, with e6",0.2
r1bqkb1r/pp1p1ppp/2n1p3/2pnP3/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 e6 3. c3 Nf6 4. e5 Nd5 5. d4 Nc6,"시실리안 디펜스: 알라핀 바리에이션, 셰르저 바리에이션","Sicilian Defense: Alapin Variation, Sherzer Variation",-1.3
rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -,1. e4 c5 2. Nf3 e6 3. d4,시실리안 디펜스: 프렌치 바리에이션,Sicilian Defense: French Variation,0.4
rnbqkbnr/1p1p1ppp/p3p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 e6 3. d4 a6,시실리안 디펜스: 드라지치 바리에이션,Sicilian Defense: Drazic Variation,-0.8
rnbqkbnr/pp1p1ppp/4p3/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,1. e4 c5 2. Nf3 e6 3. d4 cxd4,"시실리안 디펜스: 프렌치 바리에이션, 오픈","Sicilian Defense: French Variation, Open",-0.4
rnbqkbnr/pp1p1ppp/4p3/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq -,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4,"시실리안 디펜스: 프렌치 바리에이션, 오픈","Sicilian Defense: French Variation, Open",0.4
